"Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
"STARBUCKS",-37.06,"Citi Platinum","Meals","Coffee","GBP","N"
"AVIS",-129.53,"Citi Platinum","Travel","Car Rental","USD","Y"
"LYFT",-277.62,"Citi Platinum","Travel","Ground Transportation","AUD","N"
"STARBUCKS",-316.57,"Chase Sapphire","Meals","Coffee","GBP","Y"
"STARBUCKS",100.41,"American Express","Meals","Coffee","AUD","Y"
"LYFT",-231.42,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
"HERTZ",-372.67,"American Express","Travel","Car Rental","USD","Y"
"MARRIOTT",-86.01,"Citi Platinum","Lodging","Hotel","AUD","N"
"HILTON",-112.77,"Citi Platinum","Lodging","Hotel","BRL","N"
"MCDONALDS",-312.46,"Citi Platinum","Meals","Restaurant","GBP","Y"
"MCDONALDS",-383.15,"Capital One Venture","Meals","Restaurant","EUR","N"
"MARRIOTT",-163.96,"Capital One Venture","Lodging","Hotel","GBP","Y"
"AVIS",-13.27,"Citi Platinum","Travel","Car Rental","BRL","Y"
"SHELL",73.67,"American Express","Travel","Fuel","AUD","Y"
"MARRIOTT",-209.15,"Capital One Venture","Lodging","Hotel","USD","N"
"BOOKING.COM",-250.1,"Citi Platinum","Travel","Booking Fees","CAD","Y"
"UNITED AIRLINES",-117.47,"Citi Platinum","Travel","Airfare","AUD","Y"
"BOOKING.COM",-131.12,"Chase Sapphire","Travel","Booking Fees","EUR","N"
"SHELL",-74.43,"Capital One Venture","Travel","Fuel","CAD","Y"
"MARRIOTT",-197.5,"Chase Sapphire","Lodging","Hotel","CAD","Y"
"HUDSON NEWS",42.08,"Citi Platinum","Meals","Snacks","USD","Y"
"AVIS",-249.7,"Chase Sapphire","Travel","Car Rental","GBP","Y"
"SHELL",-189.67,"Citi Platinum","Travel","Fuel","CAD","Y"
"EXPEDIA",-61.1,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
"BOOKING.COM",-31.2,"American Express","Travel","Booking Fees","EUR","Y"
"EXPEDIA",-382.62,"American Express","Travel","Booking Fees","GBP","N"
"HUDSON NEWS",-137.14,"Chase Sapphire","Meals","Snacks","GBP","Y"
"HILTON",-76.95,"Capital One Venture","Lodging","Hotel","GBP","Y"
"UNITED AIRLINES",-324.1,"American Express","Travel","Airfare","AUD","Y"
"LYFT",-92.32,"Capital One Venture","Travel","Ground Transportation","CAD","Y"
"STARBUCKS",-249.38,"Citi Platinum","Meals","Coffee","GBP","Y"
"HERTZ",-27.57,"Citi Platinum","Travel","Car Rental","AUD","Y"
"HUDSON NEWS",85.38,"Capital One Venture","Meals","Snacks","CAD","N"
"HERTZ",-57.71,"Chase Sapphire","Travel","Car Rental","CAD","Y"
"AVIS",135.51,"Chase Sapphire","Travel","Car Rental","EUR","Y"
"AVIS",-46.36,"American Express","Travel","Car Rental","AUD","Y"
"MCDONALDS",15.66,"Capital One Venture","Meals","Restaurant","BRL","N"
"SHELL",85.95,"Chase Sapphire","Travel","Fuel","AUD","Y"
"AVIS",-153.41,"Chase Sapphire","Travel","Car Rental","AUD","Y"
"UBER",-419.89,"Capital One Venture","Travel","Ground Transportation","EUR","Y"
"MCDONALDS",-146.22,"Chase Sapphire","Meals","Restaurant","CAD","Y"
"DELTA AIR LINES",-125.33,"American Express","Travel","Airfare","BRL","Y"
"MARRIOTT",-168.64,"Citi Platinum","Lodging","Hotel","BRL","Y"
"HERTZ",81.81,"Chase Sapphire","Travel","Car Rental","GBP","Y"
"UNITED AIRLINES",-28.72,"Capital One Venture","Travel","Airfare","GBP","Y"
"UBER",-212.16,"American Express","Travel","Ground Transportation","AUD","Y"
"DELTA AIR LINES",185.29,"Capital One Venture","Travel","Airfare","EUR","Y"
"BOOKING.COM",-102.26,"American Express","Travel","Booking Fees","USD","N"
"HERTZ",-216.03,"Citi Platinum","Travel","Car Rental","CAD","Y"
"EXPEDIA",-139.05,"Citi Platinum","Travel","Booking Fees","GBP","Y"
"MARRIOTT",-385.4,"American Express","Lodging","Hotel","GBP","Y"
"EXPEDIA",-284.39,"Citi Platinum","Travel","Booking Fees","AUD","Y"
"HUDSON NEWS",-309.33,"American Express","Meals","Snacks","CAD","Y"
"UNITED AIRLINES",-252.43,"Chase Sapphire","Travel","Airfare","CAD","Y"
"BOOKING.COM",-233.2,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"LYFT",-104.12,"Citi Platinum","Travel","Ground Transportation","USD","Y"
"MARRIOTT",-32.15,"Capital One Venture","Lodging","Hotel","CAD","Y"
"MARRIOTT",-237.29,"American Express","Lodging","Hotel","BRL","Y"
"HUDSON NEWS",-269.62,"Capital One Venture","Meals","Snacks","EUR","N"
"UNITED AIRLINES",-275,"Citi Platinum","Travel","Airfare","USD","Y"
"DELTA AIR LINES",-199.75,"American Express","Travel","Airfare","EUR","Y"
"LYFT",-178.68,"Capital One Venture","Travel","Ground Transportation","EUR","N"
"STARBUCKS",-91.97,"American Express","Meals","Coffee","GBP","Y"
"EXXON",-188.56,"American Express","Travel","Fuel","CAD","Y"
"STARBUCKS",-399.42,"Chase Sapphire","Meals","Coffee","CAD","N"
"STARBUCKS",-160.97,"American Express","Meals","Coffee","AUD","Y"
"AVIS",-7.54,"Citi Platinum","Travel","Car Rental","BRL","N"
"HILTON",-7.01,"Citi Platinum","Lodging","Hotel","AUD","Y"
"LYFT",-244.68,"American Express","Travel","Ground Transportation","CAD","Y"
"HILTON",-335.73,"Chase Sapphire","Lodging","Hotel","EUR","Y"
"AVIS",144.97,"American Express","Travel","Car Rental","USD","Y"
"HILTON",-169.49,"Citi Platinum","Lodging","Hotel","GBP","Y"
"EXPEDIA",161.69,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"HUDSON NEWS",-99.53,"American Express","Meals","Snacks","EUR","Y"
"EXXON",-343.68,"American Express","Travel","Fuel","EUR","Y"
"SHELL",-237.39,"Citi Platinum","Travel","Fuel","BRL","Y"
"STARBUCKS",-334.85,"Citi Platinum","Meals","Coffee","BRL","Y"
"DELTA AIR LINES",-233.17,"Chase Sapphire","Travel","Airfare","USD","Y"
"BOOKING.COM",-135.74,"Citi Platinum","Travel","Booking Fees","BRL","N"
"UNITED AIRLINES",-313.77,"Chase Sapphire","Travel","Airfare","BRL","N"
"EXXON",-79.2,"Citi Platinum","Travel","Fuel","USD","Y"
"MARRIOTT",-115.28,"Capital One Venture","Lodging","Hotel","GBP","Y"
"STARBUCKS",-258.51,"Capital One Venture","Meals","Coffee","EUR","Y"
"SHELL",-122.84,"Capital One Venture","Travel","Fuel","GBP","Y"
"MCDONALDS",-60.23,"American Express","Meals","Restaurant","GBP","Y"
"DELTA AIR LINES",-22.67,"American Express","Travel","Airfare","CAD","Y"
"HERTZ",-175.54,"American Express","Travel","Car Rental","USD","Y"
"UNITED AIRLINES",-161.24,"Citi Platinum","Travel","Airfare","CAD","Y"
"MARRIOTT",-160.41,"American Express","Lodging","Hotel","CAD","Y"
"AVIS",22.98,"Capital One Venture","Travel","Car Rental","AUD","Y"
"AVIS",-14.99,"Chase Sapphire","Travel","Car Rental","EUR","Y"
"BOOKING.COM",-49.87,"Citi Platinum","Travel","Booking Fees","USD","Y"
"EXPEDIA",-184.48,"Capital One Venture","Travel","Booking Fees","BRL","Y"
"MARRIOTT",-105.21,"Chase Sapphire","Lodging","Hotel","CAD","Y"
"LYFT",-101.61,"Capital One Venture","Travel","Ground Transportation","EUR","Y"
"EXPEDIA",-275,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
"STARBUCKS",-357.4,"Citi Platinum","Meals","Coffee","AUD","Y"
"UBER",-72.98,"Chase Sapphire","Travel","Ground Transportation","CAD","N"
"HILTON",333.52,"Capital One Venture","Lodging","Hotel","USD","Y"
"UNITED AIRLINES",-149.8,"Chase Sapphire","Travel","Airfare","EUR","N"
"DELTA AIR LINES",-119.97,"Chase Sapphire","Travel","Airfare","CAD","Y"
"HERTZ",-82.34,"Chase Sapphire","Travel","Car Rental","GBP","N"
"DELTA AIR LINES",-127.27,"Citi Platinum","Travel","Airfare","BRL","Y"
"HERTZ",-237.94,"Citi Platinum","Travel","Car Rental","CAD","N"
"UBER",-31.64,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
"HERTZ",58.64,"Capital One Venture","Travel","Car Rental","USD","N"
"UNITED AIRLINES",-44.26,"American Express","Travel","Airfare","GBP","Y"
"UNITED AIRLINES",-383.24,"Citi Platinum","Travel","Airfare","AUD","N"
"HERTZ",17.95,"Citi Platinum","Travel","Car Rental","AUD","Y"
"BOOKING.COM",-156.73,"Citi Platinum","Travel","Booking Fees","EUR","Y"
"MARRIOTT",-87.01,"Capital One Venture","Lodging","Hotel","BRL","Y"
"UBER",-75.36,"American Express","Travel","Ground Transportation","BRL","Y"
"LYFT",-161.6,"American Express","Travel","Ground Transportation","CAD","Y"
"STARBUCKS",-159.03,"American Express","Meals","Coffee","AUD","Y"
"BOOKING.COM",-27.7,"American Express","Travel","Booking Fees","USD","Y"
"MARRIOTT",-64.61,"Citi Platinum","Lodging","Hotel","BRL","Y"
"MCDONALDS",-31.17,"Citi Platinum","Meals","Restaurant","BRL","Y"
"MARRIOTT",135.95,"Capital One Venture","Lodging","Hotel","USD","Y"
"EXPEDIA",-70.27,"Citi Platinum","Travel","Booking Fees","BRL","Y"
"DELTA AIR LINES",125.11,"Citi Platinum","Travel","Airfare","GBP","N"
"EXXON",-415.28,"Chase Sapphire","Travel","Fuel","GBP","Y"
"DELTA AIR LINES",173.01,"Citi Platinum","Travel","Airfare","CAD","N"
"MCDONALDS",-207.92,"Citi Platinum","Meals","Restaurant","CAD","Y"
"HILTON",134.97,"American Express","Lodging","Hotel","USD","Y"
"EXXON",-105.04,"Chase Sapphire","Travel","Fuel","BRL","Y"
"HERTZ",34.61,"Chase Sapphire","Travel","Car Rental","USD","Y"
"AVIS",-163.17,"Capital One Venture","Travel","Car Rental","GBP","Y"
"STARBUCKS",-88.62,"American Express","Meals","Coffee","BRL","N"
"STARBUCKS",124.33,"Citi Platinum","Meals","Coffee","EUR","N"
"EXXON",-172.33,"Chase Sapphire","Travel","Fuel","USD","Y"
"HERTZ",164.45,"Citi Platinum","Travel","Car Rental","EUR","N"
"SHELL",-28.46,"American Express","Travel","Fuel","CAD","N"
"UNITED AIRLINES",-174.17,"American Express","Travel","Airfare","GBP","Y"
"DELTA AIR LINES",-394.52,"Chase Sapphire","Travel","Airfare","USD","Y"
"HILTON",-173.51,"American Express","Lodging","Hotel","BRL","Y"
"MCDONALDS",-85.23,"American Express","Meals","Restaurant","CAD","Y"
"HUDSON NEWS",-76.03,"Citi Platinum","Meals","Snacks","AUD","Y"
"UBER",-76.01,"Citi Platinum","Travel","Ground Transportation","BRL","Y"
"MCDONALDS",-353.05,"Citi Platinum","Meals","Restaurant","BRL","Y"
"HERTZ",-105.75,"Chase Sapphire","Travel","Car Rental","EUR","N"
"EXXON",-33.86,"Chase Sapphire","Travel","Fuel","USD","Y"
